puzzle_id,source,size,same_size,locked,n_right,n_wrong,right_sources,wrong_sources,consensus_name,solver_file,phase3_pairs
00576224,arc1_eval,2x2,n,,0,0,,,,,0
007bbfb7,arc1_train,3x3,n,,0,0,,,,,0
009d5c81,arc1_eval,14x14,y,,0,0,,,,,0
00d62c1b,arc1_train,6x6,y,,0,0,,,,,0
00dbd492,arc1_eval,7x7,y,,1,0,claude_agent_batch_002_v2_full_puzzle:1,,,,0
017c7c7b,arc1_train,6x3,n,,0,0,,,,,0
025d127b,arc1_train,14x9,y,,1,0,claude_agent_batch_008_v2_direct_write:1,,,,0
03560426,arc1_eval,10x10,y,,1,0,claude_agent_batch_016_v2_direct_write:1,,,,0
045e512c,arc1_train,21x21,y,,0,0,,,,,0
0520fde7,arc1_train,3x7,n,,0,0,,,,,0
05269061,arc1_train,7x7,y,,0,0,,,,,0
05a7bcf2,arc1_eval,30x30,y,,1,0,claude_agent_batch_007_v2_direct_write:1,,,,0
05f2a901,arc1_train,14x9,y,,0,0,,,,,0
0607ce86,arc1_eval,23x22,y,,1,0,claude_agent_batch_002_v2_full_puzzle:1,,,,0
0692e18c,arc1_eval,3x3,n,,0,0,,,,,0
06df4c85,arc1_train,20x20,y,,1,0,claude_agent_batch_009_v2_direct_write:1,,,,0
070dd51e,arc1_eval,30x20,y,,0,0,,,,,0
08573cc6,arc1_eval,11x11,y,,1,0,claude_agent_batch_031_v2_direct_write:1,,,,0
08ed6ac7,arc1_train,9x9,y,,1,0,claude_agent_batch_025_v2_direct_write:1,,,,0
0934a4d8,arc1_eval,30x30,n,,0,0,,,,,0
09629e4f,arc1_train,11x11,y,,1,0,claude_agent_batch_023_v2_direct_write:1,,,,0
0962bcdd,arc1_train,12x12,y,,0,0,,,,,0
09c534e7,arc1_eval,30x30,y,,1,0,claude_agent_batch_012_v2_direct_write:1,,,,0
0a1d4ef5,arc1_eval,30x30,n,,0,0,,,,,0
0a2355a6,arc1_eval,9x11,y,,1,0,claude_agent_batch_015_v2_direct_write:1,,,,0
0a938d79,arc1_train,10x25,y,,0,0,,,,,0
0b148d64,arc1_train,21x21,n,,0,0,,,,,0
0b17323b,arc1_eval,15x15,y,,1,0,claude_agent_batch_007_v2_direct_write:1,,,,0
0bb8deee,arc1_eval,12x13,n,,0,0,,,,,0
0becf7df,arc1_eval,10x10,y,,0,0,,,,,0
0c786b71,arc1_eval,3x4,n,,0,0,,,,,0
0c9aba6e,arc1_eval,13x4,n,,0,0,,,,,0
0ca9ddb6,arc1_train,9x9,y,,1,0,claude_agent_batch_010_v2_direct_write:1,,,,0
0d3d703e,arc1_train,3x3,y,,1,0,claude_agent_batch_002_v2_full_puzzle:1,,,,0
0d87d2a6,arc1_eval,20x20,y,,1,0,claude_agent_batch_007_v2_direct_write:1,,,,0
0dfd9992,arc1_train,21x21,y,,1,0,claude_agent_batch_022_v2_direct_write:1,,,,0
0e206a2e,arc1_train,14x18,y,,0,0,,,,,0
0e671a1a,arc1_eval,13x13,y,,1,0,claude_agent_batch_002_v2_full_puzzle:1,,,,0
0f63c0b9,arc1_eval,15x15,y,,1,10,claude_agent_R1_v2_full_puzzle:1,qwen-2.5-7b-instruct:10,partition_rows_by_markers_into_bordered_bands,partition_rows_by_markers_into_bordered_bands.py,10
103eff5b,arc1_eval,24x13,y,,0,0,,,,,0
10fcaaa3,arc1_train,2x4,n,,0,0,,,,,0
11852cab,arc1_train,10x10,y,,1,0,claude_agent_batch_015_v2_direct_write:1,,,,0
1190bc91,arc2_train,10x10,y,,1,0,claude_agent_batch_002_v2_direct_write:1,,,,0
1190e5a7,arc1_train,15x15,n,,0,0,,,,,0
11dc524f,arc2_train,13x13,y,,0,0,,,,,0
11e1fe23,arc1_eval,10x12,y,,1,0,claude_agent_batch_002_v2_direct_write:1,,,,0
